sample_id,season,event,driver,stint,lap,horizon,current_D,generated_target,raw_dataset_target,difference,status
2024_001,2024,Italian Grand Prix,ZHO,2,36,+1,2.4026,2.4026,2.4026,0.0,PASS
2024_001,2024,Italian Grand Prix,ZHO,2,36,+3,2.4026,2.5793,2.5793,0.0,PASS
2024_001,2024,Italian Grand Prix,ZHO,2,36,+5,2.4026,2.5793,2.5793,0.0,PASS
2024_001,2024,Italian Grand Prix,ZHO,2,36,+10,2.4026,3.8288,3.8288,0.0,PASS
2024_002,2024,Bahrain Grand Prix,HAM,3,34,+1,0.0,0.0,0.0,0.0,PASS
2024_002,2024,Bahrain Grand Prix,HAM,3,34,+3,0.0,0.0252,0.0252,0.0,PASS
2024_002,2024,Bahrain Grand Prix,HAM,3,34,+5,0.0,0.0252,0.0252,0.0,PASS
2024_002,2024,Bahrain Grand Prix,HAM,3,34,+10,0.0,0.0252,0.0252,0.0,PASS
2024_003,2024,Azerbaijan Grand Prix,STR,2,18,+1,1.101,1.101,1.101,0.0,PASS
2024_003,2024,Azerbaijan Grand Prix,STR,2,18,+3,1.101,1.101,1.101,0.0,PASS
2024_003,2024,Azerbaijan Grand Prix,STR,2,18,+5,1.101,NaN,NaN,0.0,PASS
2024_003,2024,Azerbaijan Grand Prix,STR,2,18,+10,1.101,NaN,NaN,0.0,PASS
2024_004,2024,Azerbaijan Grand Prix,LEC,2,49,+1,2.4584,NaN,NaN,0.0,PASS
2024_004,2024,Azerbaijan Grand Prix,LEC,2,49,+3,2.4584,NaN,NaN,0.0,PASS
2024_004,2024,Azerbaijan Grand Prix,LEC,2,49,+5,2.4584,NaN,NaN,0.0,PASS
2024_004,2024,Azerbaijan Grand Prix,LEC,2,49,+10,2.4584,NaN,NaN,0.0,PASS
2024_005,2024,Belgian Grand Prix,GAS,2,23,+1,0.8983,0.8983,0.8983,0.0,PASS
2024_005,2024,Belgian Grand Prix,GAS,2,23,+3,0.8983,0.8983,0.8983,0.0,PASS
2024_005,2024,Belgian Grand Prix,GAS,2,23,+5,0.8983,4.9505,4.9505,0.0,PASS
2024_005,2024,Belgian Grand Prix,GAS,2,23,+10,0.8983,NaN,NaN,0.0,PASS
2024_006,2024,Qatar Grand Prix,RUS,5,55,+1,0.0,0.0,0.0,0.0,PASS
2024_006,2024,Qatar Grand Prix,RUS,5,55,+3,0.0,NaN,NaN,0.0,PASS
2024_006,2024,Qatar Grand Prix,RUS,5,55,+5,0.0,NaN,NaN,0.0,PASS
2024_006,2024,Qatar Grand Prix,RUS,5,55,+10,0.0,NaN,NaN,0.0,PASS
2024_007,2024,Singapore Grand Prix,PER,1,11,+1,0.0,0.0,0.0,0.0,PASS
2024_007,2024,Singapore Grand Prix,PER,1,11,+3,0.0,0.574,0.574,0.0,PASS
2024_007,2024,Singapore Grand Prix,PER,1,11,+5,0.0,0.574,0.574,0.0,PASS
2024_007,2024,Singapore Grand Prix,PER,1,11,+10,0.0,0.7963,0.7963,0.0,PASS
2024_008,2024,Japanese Grand Prix,SAI,3,32,+1,1.4175,1.44,1.44,0.0,PASS
2024_008,2024,Japanese Grand Prix,SAI,3,32,+3,1.4175,1.44,1.44,0.0,PASS
2024_008,2024,Japanese Grand Prix,SAI,3,32,+5,1.4175,NaN,NaN,0.0,PASS
2024_008,2024,Japanese Grand Prix,SAI,3,32,+10,1.4175,NaN,NaN,0.0,PASS
2024_009,2024,Dutch Grand Prix,ZHO,2,20,+1,0.0,0.0,0.0,0.0,PASS
2024_009,2024,Dutch Grand Prix,ZHO,2,20,+3,0.0,0.3226,0.3226,0.0,PASS
2024_009,2024,Dutch Grand Prix,ZHO,2,20,+5,0.0,0.3226,0.3226,0.0,PASS
2024_009,2024,Dutch Grand Prix,ZHO,2,20,+10,0.0,1.4102,1.4102,0.0,PASS
2024_010,2024,United States Grand Prix,GAS,2,28,+1,1.2926,1.2926,1.2926,0.0,PASS
2024_010,2024,United States Grand Prix,GAS,2,28,+3,1.2926,1.2926,1.2926,0.0,PASS
2024_010,2024,United States Grand Prix,GAS,2,28,+5,1.2926,1.2926,1.2926,0.0,PASS
2024_010,2024,United States Grand Prix,GAS,2,28,+10,1.2926,1.2926,1.2926,0.0,PASS
2024_011,2024,Australian Grand Prix,RUS,1,8,+1,13.8169,NaN,NaN,0.0,PASS
2024_011,2024,Australian Grand Prix,RUS,1,8,+3,13.8169,NaN,NaN,0.0,PASS
2024_011,2024,Australian Grand Prix,RUS,1,8,+5,13.8169,NaN,NaN,0.0,PASS
2024_011,2024,Australian Grand Prix,RUS,1,8,+10,13.8169,NaN,NaN,0.0,PASS
2024_012,2024,Italian Grand Prix,MAG,2,47,+1,1.8476,1.8476,1.8476,0.0,PASS
2024_012,2024,Italian Grand Prix,MAG,2,47,+3,1.8476,1.8476,1.8476,0.0,PASS
