horizon,event,driver,stint,lap,compound,tyre_life,current_D,predicted,actual,abs_error
+10,Singapore Grand Prix,HAM,3,51,SOFT,8.0,0.6149,1.9342,35.1827,33.2485
+10,Singapore Grand Prix,HAM,3,52,SOFT,9.0,0.8167,2.0481,35.1827,33.1346
+3,Singapore Grand Prix,HAM,3,58,SOFT,15.0,2.4293,2.8507,35.1827,32.331999999999994
+5,Singapore Grand Prix,HAM,3,56,SOFT,13.0,2.4293,2.9712,35.1827,32.211499999999994
+5,Singapore Grand Prix,HAM,3,57,SOFT,14.0,2.4293,2.9764,35.1827,32.2063
+1,Australian Grand Prix,GAS,5,43,HARD,10.0,0.0,0.1381,30.9031,30.764999999999997
+1,Australian Grand Prix,VER,5,43,MEDIUM,9.0,0.0,0.1975,29.3694,29.171899999999997
+3,Singapore Grand Prix,HAM,3,59,SOFT,16.0,5.57,6.2283,35.1827,28.954399999999996
+1,Singapore Grand Prix,HAM,3,60,SOFT,17.0,6.9248,7.1235,35.1827,28.059199999999997
+1,Canadian Grand Prix,STR,2,50,HARD,27.0,1.8232,1.9571,27.9697,26.0126
+3,Canadian Grand Prix,STR,2,47,HARD,24.0,1.8232,2.1461,27.9697,25.8236
+5,Canadian Grand Prix,STR,2,45,HARD,22.0,1.7412,2.2118,27.9697,25.7579
+10,Canadian Grand Prix,STR,2,40,HARD,17.0,1.7412,2.4905,27.9697,25.4792
+5,Miami Grand Prix,BOR,2,23,HARD,4.0,0.0,0.641,24.9143,24.2733
+1,Miami Grand Prix,BOR,2,27,HARD,8.0,0.7756,0.8994,24.9143,24.0149
+3,Miami Grand Prix,BOR,2,25,HARD,6.0,0.7756,1.1457,24.9143,23.7686
+1,Italian Grand Prix,ALO,2,23,HARD,4.0,0.0,0.1399,23.3736,23.2337
+3,Italian Grand Prix,ALO,2,21,HARD,2.0,0.0,0.4275,23.3736,22.9461
+5,Monaco Grand Prix,BOR,3,30,SOFT,4.0,0.0,0.8246,19.9167,19.0921
+10,Monaco Grand Prix,COL,2,16,MEDIUM,10.0,0.0,1.5768,20.2177,18.640900000000002
+5,Canadian Grand Prix,ALB,1,18,MEDIUM,22.0,0.996,1.8185,20.387,18.5685
+3,Canadian Grand Prix,HAD,1,10,MEDIUM,10.0,0.112,0.748,19.2295,18.4815
+5,Canadian Grand Prix,HAD,1,8,MEDIUM,8.0,0.0,0.915,19.2295,18.314500000000002
+10,Canadian Grand Prix,ALB,1,13,MEDIUM,17.0,0.9305,2.3436,20.387,18.043400000000002
+3,Monaco Grand Prix,BEA,2,14,HARD,13.0,4.7822,5.3013,23.1459,17.8446
+5,Monaco Grand Prix,BEA,2,12,HARD,11.0,4.4587,5.3133,23.1459,17.8326
+10,Canadian Grand Prix,HAD,1,3,MEDIUM,3.0,0.0,1.7384,19.2295,17.491100000000003
+5,Canadian Grand Prix,HAM,1,10,MEDIUM,10.0,0.0,0.9016,18.3645,17.4629
+10,Canadian Grand Prix,ALO,1,5,MEDIUM,9.0,0.0,1.65,18.919,17.269000000000002
+1,Canadian Grand Prix,HAD,1,12,MEDIUM,12.0,1.665,1.9828,19.2295,17.2467
+1,Canadian Grand Prix,HAM,1,14,MEDIUM,14.0,0.833,1.1243,18.3645,17.240199999999998
+1,Canadian Grand Prix,TSU,1,55,HARD,55.0,1.6387,1.8045,19.0192,17.2147
+3,Canadian Grand Prix,HAM,1,12,MEDIUM,12.0,0.581,1.2278,18.3645,17.1367
+5,Canadian Grand Prix,TSU,1,51,HARD,51.0,1.5817,1.8889,19.0192,17.130300000000002
