season,session,event,drivers,tel_rows,feature_rows,status
2024,2024_bahrain_R,Bahrain Grand Prix,20,838726,399,VERIFIED_EXTRACTED
2024,2024_jeddah_R,Saudi Arabian Grand Prix,20,680685,192,VERIFIED_EXTRACTED
2024,2024_albert_park_R,Australian Grand Prix,19,642169,278,VERIFIED_EXTRACTED
2024,2024_suzuka_R,Japanese Grand Prix,20,914266,222,VERIFIED_EXTRACTED
2024,2024_shanghai_R,Chinese Grand Prix,20,860963,432,VERIFIED_EXTRACTED
2024,2024_miami_R,Miami Grand Prix,20,813563,437,VERIFIED_EXTRACTED
2024,2024_imola_R,Emilia Romagna Grand Prix,20,779681,440,VERIFIED_EXTRACTED
2024,2024_monaco_R,Monaco Grand Prix,20,1126472,564,VERIFIED_EXTRACTED
2024,2024_montreal_R,Canadian Grand Prix,20,884129,1217,VERIFIED_EXTRACTED
2024,2024_red_bull_ring_R,Austrian Grand Prix,20,768057,488,VERIFIED_EXTRACTED
2024,2024_silverstone_R,British Grand Prix,19,709820,297,VERIFIED_EXTRACTED
2024,2024_hungaroring_R,Hungarian Grand Prix,20,875067,586,VERIFIED_EXTRACTED
2024,2024_spa_R,Belgian Grand Prix,20,702221,266,VERIFIED_EXTRACTED
2024,2024_zandvoort_R,Dutch Grand Prix,20,833075,531,VERIFIED_EXTRACTED
2024,2024_monza_R,Italian Grand Prix,20,656282,264,VERIFIED_EXTRACTED
2024,2024_baku_R,Azerbaijan Grand Prix,20,819840,391,VERIFIED_EXTRACTED
2024,2024_singapore_R,Singapore Grand Prix,20,891361,518,VERIFIED_EXTRACTED
2024,2024_cota_R,United States Grand Prix,20,837311,390,VERIFIED_EXTRACTED
2024,2024_rodriguez_R,Mexico City Grand Prix,20,800314,510,VERIFIED_EXTRACTED
2024,2024_interlagos_R,Sao Paulo Grand Prix,18,954289,473,VERIFIED_EXTRACTED
2024,2024_las_vegas_R,Las Vegas Grand Prix,20,710591,287,VERIFIED_EXTRACTED
2024,2024_losail_R,Qatar Grand Prix,20,695562,363,VERIFIED_EXTRACTED
2024,2024_abu_dhabi_R,Abu Dhabi Grand Prix,20,717700,344,VERIFIED_EXTRACTED
2025,2025_albert_park_R,Australian Grand Prix,20,752508,198,VERIFIED_EXTRACTED
2025,2025_shanghai_R,Chinese Grand Prix,20,785617,379,VERIFIED_EXTRACTED
2025,2025_suzuka_R,Japanese Grand Prix,20,747616,349,VERIFIED_EXTRACTED
2025,2025_bahrain_R,Bahrain Grand Prix,20,861901,489,VERIFIED_EXTRACTED
2025,2025_jeddah_R,Saudi Arabian Grand Prix,20,668207,222,VERIFIED_EXTRACTED
2025,2025_miami_R,Miami Grand Prix,20,718984,62,VERIFIED_EXTRACTED
2025,2025_imola_R,Emilia Romagna Grand Prix,20,791789,483,VERIFIED_EXTRACTED
2025,2025_monaco_R,Monaco Grand Prix,20,847527,606,VERIFIED_EXTRACTED
2025,2025_spa_R,Spanish Grand Prix,19,767921,437,VERIFIED_EXTRACTED
2025,2025_montreal_R,Canadian Grand Prix,20,803049,490,VERIFIED_EXTRACTED
2025,2025_red_bull_ring_R,Austrian Grand Prix,19,621632,162,VERIFIED_EXTRACTED
2025,2025_silverstone_R,British Grand Prix,19,707807,235,VERIFIED_EXTRACTED
2025,2025_hungaroring_R,Hungarian Grand Prix,20,854213,536,VERIFIED_EXTRACTED
2025,2025_zandvoort_R,Dutch Grand Prix,20,836078,577,VERIFIED_EXTRACTED
2025,2025_monza_R,Italian Grand Prix,19,616722,213,VERIFIED_EXTRACTED
2025,2025_baku_R,Azerbaijan Grand Prix,20,802890,302,VERIFIED_EXTRACTED
2025,2025_singapore_R,Singapore Grand Prix,20,914081,564,VERIFIED_EXTRACTED
2025,2025_cota_R,United States Grand Prix,20,816737,428,VERIFIED_EXTRACTED
2025,2025_rodriguez_R,Mexico City Grand Prix,20,792869,508,VERIFIED_EXTRACTED
2025,2025_interlagos_R,São Paulo Grand Prix,20,741432,442,VERIFIED_EXTRACTED
2025,2025_las_vegas_R,Las Vegas Grand Prix,20,662793,252,VERIFIED_EXTRACTED
2025,2025_losail_R,Qatar Grand Prix,20,719592,302,VERIFIED_EXTRACTED
2025,2025_abu_dhabi_R,Abu Dhabi Grand Prix,20,782163,388,VERIFIED_EXTRACTED
